ShortTitle,Cameron,Manuscript,NRKart,ASM,StartDate,EndDate,Origin,OriginHypothetical,OriginGeocode
Conf 1.2,B11.1.2,CCCC 320,58.b,,1100,1199,Canterbury?,"Canterbury, UK","51.280233,1.078909"
Conf 10.1,B11.10.1,CCCC 190,45.11,59.5,1050,1074,Exeter,"Exeter, UK","50.718412,-3.533899"
Conf 10.2,B11.10.2,CCCC 320,58.a,,1100,1199,Canterbury?,"Canterbury, UK","51.280233,1.078909"
Conf 10.3,B11.10.3,Cotton Tiberius A.iii,186.9h,363,1040,1059,Canterbury CC,"Canterbury, UK","51.280233,1.078909"
Conf 10.4,B11.10.4,Cotton Tiberius C.i,197.h,376,1070,1100,Sherborne?,"Sherborne, UK","50.947822,-2.514483"
Scrib 3.32,B27.3.32,"Bodleian, Digby 63",319,611,844,867,Northumbria?,,
Genealogy XPi,,"Bodleian, Barlow 4",,539,1050,1099,Worcester,"Worcester, UK","52.193636,-2.221575"
HomM 1,B3.5.1,Junius 85+86,336.4,642,1040,1059,SE England,"SE England, UK","51.10914,-0.187228"
HomM 10,B3.5.10,Junius 121,338.17,644,1050,1099,Worcester,"Worcester, UK","52.193636,-2.221575"
HomM 11,B3.5.11,Vercelli,394.16,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomM 13,B3.5.13,Vercelli,394.26,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomM 14,B3.5.14,Junius 85+86,336.2,642,1040,1059,SE England,"SE England, UK","51.10914,-0.187228"
HomM 17,B3.5.17,CCCC 162,38.52,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomM 16.1,B3.5.16.1,"Somerset, County Record Office, DD/SASC/1193/77",,756.8,1050,1099,?,,
HomM 16.2,B3.5.16.2,"Somerset, County Record Office, DD/SASC/1193/77",,756.8,1050,1099,?,,
HomM 16.3,B3.5.16.3,"Somerset, County Record Office, DD/SASC/1193/77",,756.8,1050,1099,?,,
HomM 16.4,B3.5.16.4,"Somerset, County Record Office, DD/SASC/1193/77",,756.8,1050,1099,?,,
HomM 2,B3.5.2,Hatton 115,332.18,639,1050,1099,SE England,"SE England, UK","51.10914,-0.187228"
HomM 3,B3.5.3,Cotton Otho B.x,177A.16,355,1000,1049,?,?,
HomM 4,B3.5.4,Cotton Otho B.x,182.4,355,1000,1049,?,?,
HomM 4,B3.5.4,Cotton Otho C.i.II,182.4,359,1040,1059,Worcester,"Worcester, UK","52.193636,-2.221575"
HomM 5,B3.5.5,Junius 85+86,336.6,642,1040,1059,SE England,"SE England, UK","51.10914,-0.187228"
HomM 6,B3.5.6,Cotton Otho B.x,178.2,355,1000,1049,?,?,
HomM 7,B3.5.7,Cotton Tiberius C.i,197.g,376,1070,1100,Sherborne?,"Sherborne, UK","50.947822,-2.514483"
HomM 8,B3.5.8,CUL Ii.1.33,18.40,,1150,1199,SE England (Canterbury CC?),"Canterbury, UK","51.280233,1.078909"
HomM 9,B3.5.9,CCCC 303,57.40,,1150,1159,Rochester,"Rochester, UK","51.388,0.506721"
HomS 1,B3.2.1,Bodley 340,309.1,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 1,B3.2.1,CCCC 198,48.1,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 1,B3.2.1,Vercelli,394.5,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 10,B3.2.10,Blickling,382.3,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 11,B3.2.11,Bodley 340,309.19,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 11,B3.2.11,Bodley 343,310.28,,1150,1199,W Midlands?,"W Midlands, UK","52.189384,-2.336978"
HomS 11,B3.2.11,CCCC 162,38.19,50,1090,1109,SE England,"SE England, UK","51.10914,-0.187228"
HomS 11,B3.2.11,CCCC 198,48.19,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 11,B3.2.11,Vercelli,394.3,941,0959,0988,Canterbury?,"Canterbury, UK","51.280233,1.078909"
HomS 12,B3.2.12,Hatton 113+114,331.44,637-638,1064,1083,Worcester,"Worcester, UK","52.193636,-2.221575"
HomS 13,B3.2.13,Bodley 340,309.2,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 13,B3.2.13,CCCC 198,48.2,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
HomS 13,B3.2.13,CCCC 419,68.14,108,1000,1049,SE England (Canterbury?),"Canterbury, UK","51.280233,1.078909"
HomS 14,B3.2.14,Blickling,382.4,905,0960,0999,Mercia?,"Mercia, UK","52.879275,-2.057187"
HomS 14,B3.2.14,Junius 85+86,336.7,642,1040,1059,SE England,"SE England, UK","51.10914,-0.187228"
HomS 15,B3.2.15,Bodley 340,309.21,569,1000,1009,Canterbury or Rochester,"Canterbury, UK","51.280233,1.078909"
HomS 15,B3.2.15,Bodley 343,310.29,,1150,1199,W Midlands?,"W Midlands, UK","52.189384,-2.336978"
HomS 15,B3.2.15,CCCC 198,48.21,64,1000,1049,Worcester?,"Worcester, UK","52.193636,-2.221575"
